파일명,한국어,일본어,캐릭터명
물-프람_영웅각성1.mp3,좋아. 로드의 힘이 될 수 있겠어.,,
물-프람_영웅각성2.mp3,언제까지나 로드의 검이 될게.,,
물-프람_영웅각성3.mp3,"우와, 더 강해진 거야? 나 아무것도 안 했는데.",,
물-프람_영웅영입1.mp3,"프람 벨리크, 언제까지나 변치 않는 충성을 맹세하겠어.",,
물-프람_영웅영입2.mp3,"내가 모두를 지킬게, 로드.",,
물-프람_영웅영입3.mp3,모두에게 부끄럽지 않은 기사가 될게.,,
물-프람_영웅초월1.mp3,이제 좀 더 성장할 수 있는 거야?,,
물-프람_영웅초월2.mp3,"한계 돌파! 고마워, 로드.",,
물-프람_영웅초월3.mp3,강해질 수 있다는 건 기분 좋네.,,
물-프람_영웅화면01.mp3,대련은 항상 실전같이! 봐주는 건 없어?,,
물-프람_영웅화면02.mp3,무슨 일 있어?,,
물-프람_영웅화면03.mp3,힘든 일이 있으면 언제든지 얘기해.,,
물-프람_영웅화면04.mp3,"말투, 고쳐야 할까? 마음에 든다면 다행이네.",,
물-프람_영웅화면05.mp3,고기도 좋지만 감자 포타주가 제일 맛있지.,,
물-프람_영웅화면06.mp3,산수 문제 같은 거 물어보지 마. 잘 못한다고.,,
물-프람_영웅화면07.mp3,슐렌달? 이거 물려받은 거라 나도 잘 몰라.,,
물-프람_영웅화면08.mp3,정말 시원한 전투가 뭔지 보여줄까?,,
물-프람_영웅화면09.mp3,"로드, 기다렸다고!",,
물-프람_영웅화면10.mp3,"어서 와, 로드! 왜 이렇게 늦었어?",,
물-프람_영웅화면11.mp3,"난 또 마법으로 다 튀겨버려서 튀김 대장인 줄 알았지. 마법도 아니야? 염력? 뭐, 그거나 그거지. 그래, 네가 그렇다면 그런 거겠지.",,
물-프람_영웅화면12.mp3,"나 바보 아니거든! 바보는 너지, 이 고양이 녀석!",,
물-프람_영웅화면13.mp3,미하일이랑 올가는 생각보다 잘 통하나 봐. 말을 안 해도 서로 씩 웃고 그런다니까.,,
물-프람_영웅화면14.mp3,이안은 자꾸 눈치를 보는 것 같아. 나랑 눈이 마주치면 가끔 흠칫거린다니까.,,
물-프람_영웅화면15.mp3,나도 그렇지만 아슬란도 대련 상대를 봐주거나 하지는 않아. 그래서 마음에 들어.,,
물-프람_영웅화면16.mp3,"비류는 설명하는 걸 좋아하나 봐. 근데 아무거나 다 설명하려고 해서 조금 귀찮지만, 나쁜 녀석은 아닌 것 같아.",,
물-프람_영웅화면17.mp3,"우리는 사람을 지키는 방패요, 적을 베는 검이라. 그대들의 충성은 세상을 향하고, 그대들의 마음은 사람을 향하라.",,
물-프람_영웅화면18.mp3,"라샤드가 하는 말이 무슨 뜻이야, 린? 저기, 린이 하는 말이 무슨 뜻이야, 라샤드?",,
물-프람_영웅화면19.mp3,"우와! 감자가 소용돌이 모양이 됐어! 엄청나, 맛있어, 엄청나!",,
물-프람_영웅화면20.mp3,"야, 일어나. 대련하러 가야지! 안경 안 써도 잘 보이는 거 알고 있거든? 그러니까 눈살 찌푸리지 말고. 우리가 강해져야 같이 로드를 지키지! ...어, 순식간에 준비가 끝났네?",,
물-프람_영웅화면21.mp3,"샬롯이 매운 양념을 뿌려둔 감자 샐러드, 내 거랑 헷갈려서 먹었다가 엄청 고생했어. 혀가 얼얼하더라.",,
물-프람_영웅화면22.mp3,가끔 파견 갔다 오면 미하일이 맛있는 식당에 데려가 줄 때가 있어. 다음에는 로드도 함께 가자!,,
물-프람_영웅화면23.mp3,칸나는 가끔 먼 곳을 멍하니 바라보더라고. 고향에 가고 싶은 걸까?,,
물-프람_영웅화면24.mp3,나인이랑은 여기저기 많이 가보고 있어. 우리처럼 이것저것 보러 다니거나 놀러 다닌 적이 없다더라고. 나인은 아직 어린아이니까 더 많은 걸 느끼게 해주고 싶어.,,
물-프람_영웅화면25.mp3,조슈아가 너무 축 처져 있어서 같이 야시장에 가기로 했어. 샬롯이랑 같이 매달리니까 금방 넘어오더라고. 로드도 갈 거지?,,
물-프람_영웅화면26.mp3,내가 감자를 좋아하긴 하지만 못 먹어도 괜찮아. 자기가 좋아하는 것만 먹을 수 있는 사람이 얼마나 있겠어?,,
물-프람_영웅화면27.mp3,"아스트리드가 생각보다 믿음직해. 그치, 로드?",,
물-프람_영웅화면28.mp3,"로드, 이렇게 보는 건 처음인데... 아니, 또 처음이 아니네. 뭔가 좀 헷갈리긴 하지만 앞으로도 잘 부탁해!",,
물-프람_영웅화면29.mp3,"샬롯, 이거 매운 양념 맞아? 안 매운 게 어떤 거야? 미하일한테 가면 되나?",,
물-프람_영웅화면30.mp3,"루인, 항상 고생이 많네. 이거라도 먹으면서 해. 손에 안 묻는 거야. ...어? 이미 알고 있구나.",,
물-프람_영웅화면31.mp3,싸우는 법은 다 우리 할머니한테 배웠지. 원래 아발론의 기사였으니까 베르가 경이라고 하면 다 알걸?,,
물-프람_영웅화면32.mp3,"야, 그래도 이건 좀 심한 게 아닐까? 아니야, 그래도 재미는 있을 것 같지만... 그럼 프라우, 네가 다 책임지는 거다!",,
물-프람_영웅화면33.mp3,웬 책이냐고? 슈나이더가 읽던 건데 재밌어 보여서 다 보면 빌려 달라고 했어. 그림이 많아서 내가 보기도 좋아. 나인한테도 같이 읽자고 해야지.,,
물-프람_영웅화면34.mp3,그레이스 아주머니는 항상 따뜻하게 대해 주셔. 샬롯이 밝은 것도 다 아주머니한테 배운 것 같아.,,
물-프람_영웅화면35.mp3,형제가 있으면 어떤 기분일까? 린이랑 미하일 같은 느낌일까?,,
물-프람_영웅화면36.mp3,"로드, 난 아발론이 너무 좋아. 행복하고. 그러니까 어디 가면 안 돼.",,
물-프람_영웅화면37.mp3,"이러고 있으니까 옛날 생각난다, 그치?",,
물-프람_영웅화면38.mp3,프라우는 진짜 이상한 녀석이지만 가끔 재미도 있지. 진짜 기발한 장난 같은 걸 생각해 낸다고.,,
물-프람_영웅화면39.mp3,방랑하는 기사들도 많대. 그런 친구들도 다 아발론에 데려오면 안 돼?,,
물-프람_영웅화면40.mp3,"나랑 로드랑 처음 만났을 때가 궁금해? 그럼 오늘 후식으로 나오는 거 다 나한테 양보해, 프라우!",,
물-프람_영웅화면41.mp3,"로드, 지난번에 선물 줬던 애들이 고맙다고 편지를 보내줬어. 같이 읽어보자!",,
물-프람_영웅화면42.mp3,"하늘에 구름 한 점 없이 맑은 날씨야. 니벨룽겐으로 파견 보내줘, 로드! ...어? 어? 아, 그렇구나. 도토리는 다람쥐들 거니까 내가 너무 많이 가져오면 안 되는 거구나.",,
물-프람_영웅화면43.mp3,루인이 책을 읽기 좋은 계절이라고 하더라. 정작 자기는 서류만 읽는 것 같던데.,,
물-프람_영웅화면44.mp3,"로드! 자, 이거 로드한테 어울릴 것 같아서 사 왔지. 받는 것도 좋지만 주는 건 더 좋다고!",,
물-프람_일반스킬1.mp3,간다!,,
물-프람_자기소개.mp3,어떤 상대가 나와도 나에게 맡겨줘.,,
물-프람_전투준비1.mp3,"자, 싸울 시간이야.",,
물-프람_전투준비2.mp3,내가 선봉에 설게.,,
물-프람_전투준비3.mp3,나는 물러서지 않아!,,
물-프람_전투준비4.mp3,나에게 맡겨!,,
물-프람_전투준비5.mp3,제대로 하고 올게.,,
물-프람_전투준비6.mp3,"걱정하지 마, 로드.",,
물-프람_지원요청1.mp3,"여기야, 여기!",,
물-프람_지원요청2.mp3,"자, 가자!",,
물-프람_지원응답1.mp3,알았어.,,
물-프람_지원응답2.mp3,좋았어!,,
